speaker,text,date,year,debate_id
Kaine,"Governor, President Bush said we would leave Iraq at the end of 2011. And, Elaine, Iraq didn’t want our troops to stay, and they wouldn’t give us the protection for our troops. And guess what? If a nation where our troops are serving does not want us to stay, we’re not going to stay without their protection.",2016-10-04,2016,2016_October_4_2016
Pence,It was a failure of the secretary of state…,2016-10-04,2016,2016_October_4_2016
Quijano,"We need to move on to the next topic, gentlemen.",2016-10-04,2016,2016_October_4_2016
Kaine,"If Governor Pence wants to put more troops back in Iraq, that’s…",2016-10-04,2016,2016_October_4_2016
Quijano,There are a lot of people wondering in this country about the economy. Let’s turn to the issue of the economy.,2016-10-04,2016,2016_October_4_2016
Quijano,"According to the nonpartisan Committee for a Responsible Federal Budget, neither of your economic plans will reduce the growing $19 trillion gross national debt. In fact, your plans would add even more to it.",2016-10-04,2016,2016_October_4_2016
Pence,"I think the fact that — that under this past administration of which Hillary Clinton was a part, we’ve almost doubled the national debt is atrocious. I mean, I’m very proud of the fact that — I come from a state that works. The state of Indiana has balanced budgets. We cut taxes, we’ve made record investments in education and in infrastructure, and I still finish my term with $2 billion in the bank.",2016-10-04,2016,2016_October_4_2016
Quijano,Senator Kaine?,2016-10-04,2016,2016_October_4_2016
Kaine,"Elaine, on the economy, there’s a fundamental choice for the American electorate. Do you want a “you’re hired” president in Hillary Clinton or do you want a “you’re fired” president in Donald Trump? I think that’s not such a hard choice.",2016-10-04,2016,2016_October_4_2016
Quijano,"On that point, Governor Pence, recently the New York Times released part of Mr. Trump’s 1995 tax return and reported that he could have avoided paying federal income taxes for years. Yesterday, Mr. Trump said he brilliantly used the laws to pay as little tax as legally possible. Does that seem fair to you?",2016-10-04,2016,2016_October_4_2016
Pence,"Well, first, let me say, I appreciated the “you’re hired,” “you’re fired” thing, Senator. You use that a whole lot. And I think your running mate used a lot of pre-done lines.",2016-10-04,2016,2016_October_4_2016
Kaine,Fifteen million new jobs?,2016-10-04,2016,2016_October_4_2016
Pence,… slowest economic recovery since the Great Depression.,2016-10-04,2016,2016_October_4_2016
Kaine,Fifteen million new jobs?,2016-10-04,2016,2016_October_4_2016
Quijano,Governor…[crosstalk],2016-10-04,2016,2016_October_4_2016
Pence,There are millions more people living in poverty today than the day that Barack Obama with Hillary Clinton at his side…,2016-10-04,2016,2016_October_4_2016
Kaine,And the poverty level and the median income…,2016-10-04,2016,2016_October_4_2016
Pence,… stepped into the Oval Office.,2016-10-04,2016,2016_October_4_2016
Kaine,… improved dramatically between 2014 and 2015.,2016-10-04,2016,2016_October_4_2016
Pence,"You — honestly, Senator, you can roll out the numbers and the sunny side, but I got to tell you, people in Scranton know different. People in Fort Wayne, Indiana, know different. I mean, this economy is struggling. The answer to this economy is not more taxes.",2016-10-04,2016,2016_October_4_2016
Kaine,But it’s not the giveaway tax relief to the folks at the top.,2016-10-04,2016,2016_October_4_2016
Pence,It’s not more spending…[crosstalk],2016-10-04,2016,2016_October_4_2016
Kaine,I am interested to hear whether he’ll defend his running mate’s not releasing taxes and not paying taxes.,2016-10-04,2016,2016_October_4_2016
Pence,Absolutely I will.,2016-10-04,2016,2016_October_4_2016
Quijano,"Governor, with all due respect, the question was about whether it seems fair to you that Mr. Trump said he brilliantly used the laws to pay as little tax as legally possible.",2016-10-04,2016,2016_October_4_2016
Pence,"Well, this is probably the difference between Donald Trump and Hillary Clinton and Senator Kaine. And, I mean, Hillary Clinton and Senator Kaine — God bless you for it, career public servants, that’s great — Donald Trump is a businessman, not a career politician. He actually built a business.",2016-10-04,2016,2016_October_4_2016
Kaine,But why won’t he release his tax returns?,2016-10-04,2016,2016_October_4_2016
Pence,"Well, we’re answering the question about — about a business thing, is he…",2016-10-04,2016,2016_October_4_2016
Kaine,"I do want to come back to that, but…",2016-10-04,2016,2016_October_4_2016
Pence,"His tax returns — his tax returns showed he went through a very difficult time, but he used the tax code just the way it’s supposed to be used. And he did it brilliantly.",2016-10-04,2016,2016_October_4_2016
Kaine,How do you know that? You haven’t seen his tax returns.,2016-10-04,2016,2016_October_4_2016
Pence,He created a runway — because he’s created a business that’s worth billions of dollars today.,2016-10-04,2016,2016_October_4_2016
Kaine,How do you know that?,2016-10-04,2016,2016_October_4_2016
Pence,"And with regard to paying taxes, this whole riff about not paying taxes and people saying he didn’t pay taxes for years, Donald Trump has created tens of thousands of jobs. And he’s paid payroll taxes, sales taxes, property taxes…",2016-10-04,2016,2016_October_4_2016
Kaine,"Elaine, let me talk about something.",2016-10-04,2016,2016_October_4_2016
Quijano,"Senator, I’m going to give you about 30 seconds to respond, and I have question on Social Security for you.",2016-10-04,2016,2016_October_4_2016
Pence,"The only issue on taxes — Hillary Clinton is going to raise taxes, and Donald Trump and I are going to cut them.",2016-10-04,2016,2016_October_4_2016
Kaine,"Donald Trump started this campaign in 2014 and he said, “If I run for president, I will absolutely release my taxes.” He’s broken his first…",2016-10-04,2016,2016_October_4_2016
Pence,And he will.,2016-10-04,2016,2016_October_4_2016
Kaine,"He’s broken his first promise. Second, he stood on the stage…",2016-10-04,2016,2016_October_4_2016
Pence,He hasn’t broken his promise. He said he’s…,2016-10-04,2016,2016_October_4_2016
Kaine,"He stood on the stage last week and when Hillary said, you haven’t been paying taxes, he said, “That makes me smart.” So it’s smart not to pay for our military? It’s smart not to pay for veterans? It’s smart not to pay for teachers? And I guess all of us who do pay for those things, I guess we’re stupid. And the last thing I’ll say is this…",2016-10-04,2016,2016_October_4_2016
Pence,"Senator, do you take all the deductions that you’re entitled to?",2016-10-04,2016,2016_October_4_2016
Kaine,The last thing — the last thing I want to ask Governor Pence is…,2016-10-04,2016,2016_October_4_2016
